03/03/2016 19:43:15.381324 ./server:     Creating C150DgmSocket
03/03/2016 19:43:42.560805 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:43.560922 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:43.560983 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:43.561052 ./server:     Server received TRANSFER packet 286 for file romeo.txt

03/03/2016 19:43:43.565375 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:43.565483 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:44.565666 ./server:     C150DgmSocket::read: successful read with len=511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:44.565726 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....romeo.txt......................................................................................|
03/03/2016 19:43:44.565784 ./server:     Server received TRANSFER packet 287 for file romeo.txt

03/03/2016 19:43:44.569362 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:44.569492 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:45.570051 ./server:     C150DgmSocket::read: successful read with len=511 |. ...romeo.txt......................................................................................|
03/03/2016 19:43:45.570112 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |. ...romeo.txt......................................................................................|
03/03/2016 19:43:45.570166 ./server:     Server received TRANSFER packet 288 for file romeo.txt

03/03/2016 19:43:45.573738 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:45.573842 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:46.573879 ./server:     C150DgmSocket::read: successful read with len=511 |.!...romeo.txt......................................................................................|
03/03/2016 19:43:46.573942 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.!...romeo.txt......................................................................................|
03/03/2016 19:43:46.573999 ./server:     Server received TRANSFER packet 289 for file romeo.txt

03/03/2016 19:43:46.944827 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:46.944944 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:47.944925 ./server:     C150DgmSocket::read: successful read with len=511 |."...romeo.txt......................................................................................|
03/03/2016 19:43:47.944985 ./server:     C150NastyDgmSocket::read: dropping packet of length 511 |."...romeo.txt......................................................................................|
03/03/2016 19:43:48.944960 ./server:     C150DgmSocket::read: successful read with len=511 |.#...romeo.txt......................................................................................|
03/03/2016 19:43:48.945019 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.#...romeo.txt......................................................................................|
03/03/2016 19:43:48.945077 ./server:     Server received TRANSFER packet 291 for file romeo.txt

03/03/2016 19:43:48.948758 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0........................?{.|
03/03/2016 19:43:48.948867 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0........................?{.|
03/03/2016 19:43:49.948875 ./server:     C150DgmSocket::read: successful read with len=511 |.$...romeo.txt......................................................................................|
03/03/2016 19:43:49.948941 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.$...romeo.txt......................................................................................|
03/03/2016 19:43:49.949001 ./server:     Server received TRANSFER packet 292 for file romeo.txt

03/03/2016 19:43:49.953786 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:49.953899 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:50.953842 ./server:     C150DgmSocket::read: successful read with len=511 |.%...romeo.txt......................................................................................|
03/03/2016 19:43:50.953908 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.%...romeo.txt......................................................................................|
03/03/2016 19:43:50.953963 ./server:     Server received TRANSFER packet 293 for file romeo.txt

03/03/2016 19:43:50.957578 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:50.957708 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:51.957892 ./server:     C150DgmSocket::read: successful read with len=511 |.&...romeo.txt......................................................................................|
03/03/2016 19:43:51.957955 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.&...romeo.txt......................................................................................|
03/03/2016 19:43:51.958014 ./server:     Server received TRANSFER packet 294 for file romeo.txt

03/03/2016 19:43:51.961843 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:51.961954 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:52.961874 ./server:     C150DgmSocket::read: successful read with len=511 |.'...romeo.txt......................................................................................|
03/03/2016 19:43:52.961938 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.'...romeo.txt......................................................................................|
03/03/2016 19:43:52.961998 ./server:     Server received TRANSFER packet 295 for file romeo.txt

03/03/2016 19:43:52.966576 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:52.966707 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:53.966980 ./server:     C150DgmSocket::read: successful read with len=511 |.(...romeo.txt......................................................................................|
03/03/2016 19:43:53.967057 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.(...romeo.txt......................................................................................|
03/03/2016 19:43:53.967115 ./server:     Server received TRANSFER packet 296 for file romeo.txt

03/03/2016 19:43:53.971025 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:53.971132 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:54.971840 ./server:     C150DgmSocket::read: successful read with len=511 |.)...romeo.txt......................................................................................|
03/03/2016 19:43:54.971904 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.)...romeo.txt......................................................................................|
03/03/2016 19:43:54.971961 ./server:     Server received TRANSFER packet 297 for file romeo.txt

03/03/2016 19:43:54.975968 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:54.976089 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:55.976900 ./server:     C150DgmSocket::read: successful read with len=511 |.*...romeo.txt......................................................................................|
03/03/2016 19:43:55.976962 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.*...romeo.txt......................................................................................|
03/03/2016 19:43:55.977017 ./server:     Server received TRANSFER packet 298 for file romeo.txt

03/03/2016 19:43:55.982014 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:55.982127 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.romeo.txt.......?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:56.280335 ./server:     C150DgmSocket::read: successful read with len=511 |.....moor.txt.......................................................................................|
03/03/2016 19:43:56.280394 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....moor.txt.......................................................................................|
03/03/2016 19:43:56.280445 ./server:     Server received TRANSFER packet 0 for file moor.txt

03/03/2016 19:43:56.299880 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.moor.txt........?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:56.300014 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.moor.txt........?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:56.301301 ./server:     C150DgmSocket::read: successful read with len=511 |.....moor.txt.......................................................................................|
03/03/2016 19:43:56.301357 ./server:     C150NastyDgmSocket::read: delivering packet of length 511 |.....moor.txt.......................................................................................|
03/03/2016 19:43:56.301407 ./server:     Server received TRANSFER packet 1 for file moor.txt

03/03/2016 19:43:56.304112 ./server:     C150DgmSocket::write: attempting to send packet with len=257 |.moor.txt........?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:56.304223 ./server:     C150DgmSocket::write: Success writing packet with len=257 |.moor.txt........?{.............(...0...................w...n...X.@.....0.......................(={.|
03/03/2016 19:43:56.305862 ./server:     C150DgmSocket::read: successful read with len=273 |.moor.txt...........................................................................................|
03/03/2016 19:43:56.305935 ./server:     C150NastyDgmSocket::read: delivering packet of length 273 |.moor.txt...........................................................................................|
03/03/2016 19:43:56.306023 ./server:     End to end check starting for file moor.txt.

03/03/2016 19:43:56.306929 ./server:     Server hashing file: moor.txt 

03/03/2016 19:43:56.307017 ./server:     About to read file: TARGET/moor.txt.tmp 

03/03/2016 19:43:56.309491 ./server:     File TARGET/moor.txt.tmp correct, renaming to TARGET/moor.txt.

03/03/2016 19:43:56.309543 ./server:     Sending hash response for file: moor.txt

03/03/2016 19:43:56.309601 ./server:     C150DgmSocket::write: attempting to send packet with len=254 |.moor.txt...........................................................................................|
